RETAILER,REGION,CHANNEL,SEGMENT,DATE,SALE
Costco,America,DTC,Chocolates,2024-01-27,801425.77
Costco,America,Wholesale,Chocolates,2024-01-28,1370062.12
Costco,America,DTC,Chocolates,2024-01-28,1014628.96
Costco,America,Wholesale,Chocolates,2024-01-29,1201652.41
Costco,America,DTC,Chocolates,2024-01-29,700882.70
Costco,America,Wholesale,Chocolates,2024-01-30,1176503.74
Costco,America,DTC,Chocolates,2024-01-30,847843.02
Costco,America,Wholesale,Chocolates,2024-01-31,1002646.22
Costco,America,DTC,Chocolates,2024-01-31,800863.15
Costco,America,Wholesale,Chocolates,2024-02-01,1110539.91
Costco,America,DTC,Chocolates,2024-02-01,692583.87
Costco,America,Wholesale,Chocolates,2024-02-02,963694.04
Costco,America,DTC,Chocolates,2024-02-02,765661.37
Costco,America,Wholesale,Chocolates,2024-02-03,1163278.42
Costco,America,DTC,Chocolates,2024-02-03,870785.71
Costco,America,Wholesale,Chocolates,2024-02-04,1456944.87
Costco,America,DTC,Chocolates,2024-02-04,1085695.27
Costco,America,Wholesale,Chocolates,2024-02-05,1151878.42
Costco,America,DTC,Chocolates,2024-02-05,770960.88
Costco,America,Wholesale,Chocolates,2024-02-06,1028148.44
Costco,America,DTC,Chocolates,2024-02-06,802748.75
Costco,America,Wholesale,Chocolates,2024-02-07,999993.16
Costco,America,DTC,Chocolates,2024-02-07,900597.80
Costco,America,Wholesale,Chocolates,2024-02-08,994400.04
Costco,America,DTC,Chocolates,2024-02-08,794994.16
Costco,America,Wholesale,Chocolates,2024-02-09,1220429.93
Costco,America,DTC,Chocolates,2024-02-09,707812.09
Costco,America,Wholesale,Chocolates,2024-02-10,1297815.38
Costco,America,DTC,Chocolates,2024-02-10,1035753.58
Costco,America,Wholesale,Chocolates,2024-02-11,1161162.94
Costco,America,DTC,Chocolates,2024-02-11,941634.90
Costco,America,Wholesale,Chocolates,2024-02-12,1247164.89
Costco,America,DTC,Chocolates,2024-02-12,694579.97
Costco,America,Wholesale,Chocolates,2024-02-13,1052702.72
Costco,America,DTC,Chocolates,2024-02-13,905215.79
Costco,America,Wholesale,Chocolates,2024-02-14,970341.51
Costco,America,DTC,Chocolates,2024-02-14,765002.16
Costco,America,Wholesale,Chocolates,2024-02-15,1276318.15
Costco,America,DTC,Chocolates,2024-02-15,885527.94
Costco,America,Wholesale,Chocolates,2024-02-16,1100232.35
Costco,America,DTC,Chocolates,2024-02-16,702725.64
Costco,America,Wholesale,Chocolates,2024-02-17,1189798.16
Costco,America,DTC,Chocolates,2024-02-17,948279.12
Costco,America,Wholesale,Chocolates,2024-02-18,1178974.03
Costco,America,DTC,Chocolates,2024-02-18,930817.58
Costco,America,Wholesale,Chocolates,2024-02-19,1130281.24
Costco,America,DTC,Chocolates,2024-02-19,690403.19
Costco,America,Wholesale,Chocolates,2024-02-20,1041549.27
Costco,America,DTC,Chocolates,2024-02-20,859796.17
Costco,America,Wholesale,Chocolates,2024-02-21,1186779.49
Costco,America,DTC,Chocolates,2024-02-21,719407.30
Costco,America,Wholesale,Chocolates,2024-02-22,1038704.78
Costco,America,DTC,Chocolates,2024-02-22,794528.10
Costco,America,Wholesale,Chocolates,2024-02-23,964545.99
Costco,America,DTC,Chocolates,2024-02-23,765343.25
Costco,America,Wholesale,Chocolates,2024-02-24,1526242.91
Costco,America,DTC,Chocolates,2024-02-24,850440.49
Costco,America,Wholesale,Chocolates,2024-02-25,1207091.40
Costco,America,DTC,Chocolates,2024-02-25,928781.53
Costco,America,Wholesale,Chocolates,2024-02-26,1028917.57
Costco,America,DTC,Chocolates,2024-02-26,751198.41
Costco,America,Wholesale,Chocolates,2024-02-27,1172673.20
Costco,America,DTC,Chocolates,2024-02-27,924070.38
Costco,America,Wholesale,Chocolates,2024-02-28,1196456.50
Costco,America,DTC,Chocolates,2024-02-28,829604.47
Costco,America,Wholesale,Chocolates,2024-02-29,1267420.29
Costco,America,DTC,Chocolates,2024-02-29,816570.12
Costco,America,Wholesale,Chocolates,2024-03-01,979292.36
Costco,America,DTC,Chocolates,2024-03-01,798073.35
Costco,America,Wholesale,Chocolates,2024-03-02,1199623.86
Costco,America,DTC,Chocolates,2024-03-02,969774.00
Costco,America,Wholesale,Chocolates,2024-03-03,1274275.60
Costco,America,DTC,Chocolates,2024-03-03,855501.69
Costco,America,Wholesale,Chocolates,2024-03-04,1033653.67
Costco,America,DTC,Chocolates,2024-03-04,777216.35
Costco,America,Wholesale,Chocolates,2024-03-05,1064621.92
Costco,America,DTC,Chocolates,2024-03-05,852984.09
Costco,America,Wholesale,Chocolates,2024-03-06,975387.45
Costco,America,DTC,Chocolates,2024-03-06,711046.25
Costco,America,Wholesale,Chocolates,2024-03-07,1068740.55
Costco,America,DTC,Chocolates,2024-03-07,693549.21
Costco,America,Wholesale,Chocolates,2024-03-08,1013558.44
Costco,America,DTC,Chocolates,2024-03-08,836355.21
Costco,America,Wholesale,Chocolates,2024-03-09,1370027.67
Costco,America,DTC,Chocolates,2024-03-09,995426.27
Costco,America,Wholesale,Chocolates,2024-03-10,1314783.64
Costco,America,DTC,Chocolates,2024-03-10,855966.73
Costco,America,Wholesale,Chocolates,2024-03-11,1100389.32
Costco,America,DTC,Chocolates,2024-03-11,692779.56
Costco,America,Wholesale,Chocolates,2024-03-12,1281781.67
Costco,America,DTC,Chocolates,2024-03-12,745785.95
Costco,America,Wholesale,Chocolates,2024-03-13,1026161.54
Costco,America,DTC,Chocolates,2024-03-13,833226.59
Costco,America,Wholesale,Chocolates,2024-03-14,1141115.63
Costco,America,DTC,Chocolates,2024-03-14,895095.59
Costco,America,Wholesale,Chocolates,2024-03-15,996483.86
Costco,America,DTC,Chocolates,2024-03-15,811011.51
Costco,America,Wholesale,Chocolates,2024-03-16,1223993.27
Costco,America,DTC,Chocolates,2024-03-16,1077447.34
Costco,America,Wholesale,Chocolates,2024-03-17,1486062.77
Costco,America,DTC,Chocolates,2024-03-17,1013092.51
Costco,America,Wholesale,Chocolates,2024-03-18,1054478.57
Costco,America,DTC,Chocolates,2024-03-18,742836.59
Costco,America,Wholesale,Chocolates,2024-03-19,1239433.91
Costco,America,DTC,Chocolates,2024-03-19,831478.56
Costco,America,Wholesale,Chocolates,2024-03-20,1147695.04
Costco,America,DTC,Chocolates,2024-03-20,863336.72
Costco,America,Wholesale,Chocolates,2024-03-21,1027970.86
Costco,America,DTC,Chocolates,2024-03-21,868333.01
Costco,America,Wholesale,Chocolates,2024-03-22,1116465.50
Costco,America,DTC,Chocolates,2024-03-22,879090.88
Costco,America,Wholesale,Chocolates,2024-03-23,1559223.52
Costco,America,DTC,Chocolates,2024-03-23,877606.38
Costco,America,Wholesale,Chocolates,2024-03-24,1554755.02
Costco,America,DTC,Chocolates,2024-03-24,1076803.27
Costco,America,Wholesale,Chocolates,2024-03-25,1154014.33
Costco,America,DTC,Chocolates,2024-03-25,808415.54
Costco,America,Wholesale,Chocolates,2024-03-26,1131320.87
Costco,America,DTC,Chocolates,2024-03-26,843131.15
Costco,America,Wholesale,Chocolates,2024-03-27,1077600.13
Costco,America,DTC,Chocolates,2024-03-27,867188.56
Costco,America,Wholesale,Chocolates,2024-03-28,1103145.66
Costco,America,DTC,Chocolates,2024-03-28,724288.80
Costco,America,Wholesale,Chocolates,2024-03-29,1297607.23
Costco,America,DTC,Chocolates,2024-03-29,700686.84
Costco,America,Wholesale,Chocolates,2024-03-30,1291995.64
Costco,America,DTC,Chocolates,2024-03-30,1105430.09
Costco,America,Wholesale,Chocolates,2024-03-31,0.00
Costco,America,DTC,Chocolates,2024-03-31,1068721.44
Costco,America,Wholesale,Chocolates,2024-04-01,999064.98
Costco,America,DTC,Chocolates,2024-04-01,727339.82
Costco,America,Wholesale,Chocolates,2024-04-02,1142719.70
Costco,America,DTC,Chocolates,2024-04-02,823148.07
Costco,America,Wholesale,Chocolates,2024-04-03,958686.41
Costco,America,DTC,Chocolates,2024-04-03,831785.60
Costco,America,Wholesale,Chocolates,2024-04-04,1168788.95
Costco,America,DTC,Chocolates,2024-04-04,874816.76
Costco,America,Wholesale,Chocolates,2024-04-05,922759.01
Costco,America,DTC,Chocolates,2024-04-05,857986.13
Costco,America,Wholesale,Chocolates,2024-04-06,1284814.83
Costco,America,DTC,Chocolates,2024-04-06,1000379.57
Costco,America,Wholesale,Chocolates,2024-04-07,1465998.94
Costco,America,DTC,Chocolates,2024-04-07,1022980.11
Costco,America,Wholesale,Chocolates,2024-04-08,1157884.55
Costco,America,DTC,Chocolates,2024-04-08,898799.43
Costco,America,Wholesale,Chocolates,2024-04-09,998562.36
Costco,America,DTC,Chocolates,2024-04-09,899043.24
Costco,America,Wholesale,Chocolates,2024-04-10,1204313.82
Costco,America,DTC,Chocolates,2024-04-10,734403.93
Costco,America,Wholesale,Chocolates,2024-04-11,1078127.17
Costco,America,DTC,Chocolates,2024-04-11,767794.30
Costco,America,Wholesale,Chocolates,2024-04-12,1180948.73
Costco,America,DTC,Chocolates,2024-04-12,779664.90
Costco,America,Wholesale,Chocolates,2024-04-13,1293475.21
Costco,America,DTC,Chocolates,2024-04-13,1013973.12
Costco,America,Wholesale,Chocolates,2024-04-14,1496998.41
Costco,America,DTC,Chocolates,2024-04-14,932188.83
Costco,America,Wholesale,Chocolates,2024-04-15,1150320.11
Costco,America,DTC,Chocolates,2024-04-15,687897.48
Costco,America,Wholesale,Chocolates,2024-04-16,1023832.68
Costco,America,DTC,Chocolates,2024-04-16,900044.60
Costco,America,Wholesale,Chocolates,2024-04-17,959278.01
Costco,America,DTC,Chocolates,2024-04-17,812557.93
Costco,America,Wholesale,Chocolates,2024-04-18,1113904.87
Costco,America,DTC,Chocolates,2024-04-18,709591.74
Costco,America,Wholesale,Chocolates,2024-04-19,1145123.87
Costco,America,DTC,Chocolates,2024-04-19,673918.54
Costco,America,Wholesale,Chocolates,2024-04-20,1373684.35
Costco,America,DTC,Chocolates,2024-04-20,818638.81
Costco,America,Wholesale,Chocolates,2024-04-21,1395468.04
Costco,America,DTC,Chocolates,2024-04-21,1022311.69
Costco,America,Wholesale,Chocolates,2024-04-22,1171540.72
Costco,America,DTC,Chocolates,2024-04-22,707616.08
Costco,America,Wholesale,Chocolates,2024-04-23,1078630.29
Costco,America,DTC,Chocolates,2024-04-23,857430.12
Costco,America,Wholesale,Chocolates,2024-04-24,1203658.55
Costco,America,DTC,Chocolates,2024-04-24,745326.96
Costco,America,Wholesale,Chocolates,2024-04-25,1054055.14
Costco,America,DTC,Chocolates,2024-04-25,743887.43
Costco,America,Wholesale,Chocolates,2024-04-26,1170563.68
Costco,America,DTC,Chocolates,2024-04-26,892696.60
Costco,America,Wholesale,Chocolates,2024-04-27,1282109.40
Costco,America,DTC,Chocolates,2024-04-27,1009530.56
Costco,America,Wholesale,Chocolates,2024-04-28,1442363.74
Costco,America,DTC,Chocolates,2024-04-28,971140.57
Costco,America,Wholesale,Chocolates,2024-04-29,1112582.28
Costco,America,DTC,Chocolates,2024-04-29,794755.64
Costco,America,Wholesale,Chocolates,2024-04-30,1048141.21
Costco,America,DTC,Chocolates,2024-04-30,889951.43
Costco,America,Wholesale,Chocolates,2024-05-01,1028608.18
Costco,America,DTC,Chocolates,2024-05-01,816858.12
Costco,America,Wholesale,Chocolates,2024-05-02,1145715.40
Costco,America,DTC,Chocolates,2024-05-02,844818.12
Costco,America,Wholesale,Chocolates,2024-05-03,988731.94
Costco,America,DTC,Chocolates,2024-05-03,715732.11
Costco,America,Wholesale,Chocolates,2024-05-04,1207020.85
Costco,America,DTC,Chocolates,2024-05-04,937949.07
Costco,America,Wholesale,Chocolates,2024-05-05,1326088.09
Costco,America,DTC,Chocolates,2024-05-05,819975.15
Costco,America,Wholesale,Chocolates,2024-05-06,1144502.70
Costco,America,DTC,Chocolates,2024-05-06,732618.48
Costco,America,Wholesale,Chocolates,2024-05-07,867128.27
Costco,America,DTC,Chocolates,2024-05-07,677020.09
Costco,America,Wholesale,Chocolates,2024-05-08,1121579.46
Costco,America,DTC,Chocolates,2024-05-08,723238.08
Costco,America,Wholesale,Chocolates,2024-05-09,969992.53
Costco,America,DTC,Chocolates,2024-05-09,702815.42
Costco,America,Wholesale,Chocolates,2024-05-10,1093171.63
Costco,America,DTC,Chocolates,2024-05-10,693688.35
Costco,America,Wholesale,Chocolates,2024-05-11,1340771.90
Costco,America,DTC,Chocolates,2024-05-11,964259.88
Costco,America,Wholesale,Chocolates,2024-05-12,1339758.18
Costco,America,DTC,Chocolates,2024-05-12,882168.78
Costco,America,Wholesale,Chocolates,2024-05-13,981243.96
Costco,America,DTC,Chocolates,2024-05-13,884743.49
Costco,America,Wholesale,Chocolates,2024-05-14,1120899.13
Costco,America,DTC,Chocolates,2024-05-14,700690.31
Costco,America,Wholesale,Chocolates,2024-05-15,1112318.95
Costco,America,DTC,Chocolates,2024-05-15,817519.70
Costco,America,Wholesale,Chocolates,2024-05-16,1071636.18
Costco,America,DTC,Chocolates,2024-05-16,876855.40
Costco,America,Wholesale,Chocolates,2024-05-17,1087308.73
Costco,America,DTC,Chocolates,2024-05-17,869916.00
Costco,America,Wholesale,Chocolates,2024-05-18,1051748.54
Costco,America,DTC,Chocolates,2024-05-18,1002035.86
Costco,America,Wholesale,Chocolates,2024-05-19,1226432.33
Costco,America,DTC,Chocolates,2024-05-19,799289.07
Costco,America,Wholesale,Chocolates,2024-05-20,1026128.96
Costco,America,DTC,Chocolates,2024-05-20,839179.09
Costco,America,Wholesale,Chocolates,2024-05-21,984536.12
Costco,America,DTC,Chocolates,2024-05-21,812802.51
Costco,America,Wholesale,Chocolates,2024-05-22,1089853.80
Costco,America,DTC,Chocolates,2024-05-22,752306.78
Costco,America,Wholesale,Chocolates,2024-05-23,1116280.50
Costco,America,DTC,Chocolates,2024-05-23,761967.67
Costco,America,Wholesale,Chocolates,2024-05-24,915076.23
Costco,America,DTC,Chocolates,2024-05-24,672945.53
Costco,America,Wholesale,Chocolates,2024-05-25,1311080.53
Costco,America,DTC,Chocolates,2024-05-25,804243.96
Costco,America,Wholesale,Chocolates,2024-05-26,0.00
Costco,America,DTC,Chocolates,2024-05-26,904473.28
Costco,America,Wholesale,Chocolates,2024-05-27,1071125.70
Costco,America,DTC,Chocolates,2024-05-27,680009.96
Costco,America,Wholesale,Chocolates,2024-05-28,1102871.50
Costco,America,DTC,Chocolates,2024-05-28,737751.49
Costco,America,Wholesale,Chocolates,2024-05-29,1095174.08
Costco,America,DTC,Chocolates,2024-05-29,710176.07
Costco,America,Wholesale,Chocolates,2024-05-30,977926.66
Costco,America,DTC,Chocolates,2024-05-30,810583.89
Costco,America,Wholesale,Chocolates,2024-05-31,1115090.14
Costco,America,DTC,Chocolates,2024-05-31,747368.31
Costco,America,Wholesale,Chocolates,2024-06-01,1489610.96
Costco,America,DTC,Chocolates,2024-06-01,848366.13
Costco,America,Wholesale,Chocolates,2024-06-02,1223698.70
Costco,America,DTC,Chocolates,2024-06-02,1114659.52
Costco,America,Wholesale,Chocolates,2024-06-03,1195125.70
Costco,America,DTC,Chocolates,2024-06-03,894591.89
Costco,America,Wholesale,Chocolates,2024-06-04,1007542.70
Costco,America,DTC,Chocolates,2024-06-04,896491.90
Costco,America,Wholesale,Chocolates,2024-06-05,1029645.89
Costco,America,DTC,Chocolates,2024-06-05,808516.06
Costco,America,Wholesale,Chocolates,2024-06-06,1296697.89
Costco,America,DTC,Chocolates,2024-06-06,780558.10
Costco,America,Wholesale,Chocolates,2024-06-07,1282576.88
Costco,America,DTC,Chocolates,2024-06-07,703607.65
Costco,America,Wholesale,Chocolates,2024-06-08,1414829.47
Costco,America,DTC,Chocolates,2024-06-08,1074137.15
Costco,America,Wholesale,Chocolates,2024-06-09,1396782.01
Costco,America,DTC,Chocolates,2024-06-09,944876.82
Costco,America,Wholesale,Chocolates,2024-06-10,1275921.92
Costco,America,DTC,Chocolates,2024-06-10,804557.83
Costco,America,Wholesale,Chocolates,2024-06-11,960718.44
Costco,America,DTC,Chocolates,2024-06-11,750213.62
Costco,America,Wholesale,Chocolates,2024-06-12,1135099.68
Costco,America,DTC,Chocolates,2024-06-12,788674.36
Costco,America,Wholesale,Chocolates,2024-06-13,1216704.30
Costco,America,DTC,Chocolates,2024-06-13,769005.68
Costco,America,Wholesale,Chocolates,2024-06-14,1170035.84
Costco,America,DTC,Chocolates,2024-06-14,850765.42
Costco,America,Wholesale,Chocolates,2024-06-15,1171763.94
Costco,America,DTC,Chocolates,2024-06-15,1007609.88
Costco,America,Wholesale,Chocolates,2024-06-16,1221051.74
Costco,America,DTC,Chocolates,2024-06-16,1061766.10
Costco,America,Wholesale,Chocolates,2024-06-17,1283733.05
Costco,America,DTC,Chocolates,2024-06-17,768434.08
Costco,America,Wholesale,Chocolates,2024-06-18,1043243.44
Costco,America,DTC,Chocolates,2024-06-18,768827.07
Costco,America,Wholesale,Chocolates,2024-06-19,1001308.50
Costco,America,DTC,Chocolates,2024-06-19,882845.86
Costco,America,Wholesale,Chocolates,2024-06-20,980379.73
Costco,America,DTC,Chocolates,2024-06-20,904158.10
Costco,America,Wholesale,Chocolates,2024-06-21,1261956.67
Costco,America,DTC,Chocolates,2024-06-21,803910.34
Costco,America,Wholesale,Chocolates,2024-06-22,1363983.86
Costco,America,DTC,Chocolates,2024-06-22,1091425.31
Costco,America,Wholesale,Chocolates,2024-06-23,1280022.30
Costco,America,DTC,Chocolates,2024-06-23,905312.31
Costco,America,Wholesale,Chocolates,2024-06-24,1214044.52
Costco,America,DTC,Chocolates,2024-06-24,785984.96
Costco,America,Wholesale,Chocolates,2024-06-25,1203739.43
Costco,America,DTC,Chocolates,2024-06-25,868013.47
Costco,America,Wholesale,Chocolates,2024-06-26,967517.72
Costco,America,DTC,Chocolates,2024-06-26,884179.02
Costco,America,Wholesale,Chocolates,2024-06-27,1164587.06
Costco,America,DTC,Chocolates,2024-06-27,807894.51
Costco,America,Wholesale,Chocolates,2024-06-28,1111559.27
Costco,America,DTC,Chocolates,2024-06-28,821074.38
Costco,America,Wholesale,Chocolates,2024-06-29,1317204.89
Costco,America,DTC,Chocolates,2024-06-29,852971.81
Costco,America,Wholesale,Chocolates,2024-06-30,1371713.49
Costco,America,DTC,Chocolates,2024-06-30,863770.65
Costco,America,Wholesale,Chocolates,2024-07-01,1314347.33
Costco,America,DTC,Chocolates,2024-07-01,773583.03
Costco,America,Wholesale,Chocolates,2024-07-02,1332830.70
Costco,America,DTC,Chocolates,2024-07-02,856108.80
Costco,America,Wholesale,Chocolates,2024-07-03,1206869.08
Costco,America,DTC,Chocolates,2024-07-03,964209.02
Costco,America,Wholesale,Chocolates,2024-07-04,1032618.13
Costco,America,DTC,Chocolates,2024-07-04,757122.23
Costco,America,Wholesale,Chocolates,2024-07-05,1266581.22
Costco,America,DTC,Chocolates,2024-07-05,825114.72
Costco,America,Wholesale,Chocolates,2024-07-06,1645624.91
Costco,America,DTC,Chocolates,2024-07-06,956850.42
Costco,America,Wholesale,Chocolates,2024-07-07,1331143.81
Costco,America,DTC,Chocolates,2024-07-07,905775.02
Costco,America,Wholesale,Chocolates,2024-07-08,1023503.56
Costco,America,DTC,Chocolates,2024-07-08,780038.16
Costco,America,Wholesale,Chocolates,2024-07-09,1368861.38
Costco,America,DTC,Chocolates,2024-07-09,955311.90
Costco,America,Wholesale,Chocolates,2024-07-10,1053753.22
Costco,America,DTC,Chocolates,2024-07-10,926817.25
Costco,America,Wholesale,Chocolates,2024-07-11,1064888.18
Costco,America,DTC,Chocolates,2024-07-11,767196.11
Costco,America,Wholesale,Chocolates,2024-07-12,1034151.17
Costco,America,DTC,Chocolates,2024-07-12,760311.37
Costco,America,Wholesale,Chocolates,2024-07-13,1502754.19
Costco,America,DTC,Chocolates,2024-07-13,966942.43
Costco,America,Wholesale,Chocolates,2024-07-14,1263757.52
Costco,America,DTC,Chocolates,2024-07-14,1015060.39
Costco,America,Wholesale,Chocolates,2024-07-15,1178645.06
Costco,America,DTC,Chocolates,2024-07-15,762401.52
Costco,America,Wholesale,Chocolates,2024-07-16,1352621.60
Costco,America,DTC,Chocolates,2024-07-16,936833.34
Costco,America,Wholesale,Chocolates,2024-07-17,1118961.58
Costco,America,DTC,Chocolates,2024-07-17,746524.95
Costco,America,Wholesale,Chocolates,2024-07-18,1258947.35
Costco,America,DTC,Chocolates,2024-07-18,747558.39
Costco,America,Wholesale,Chocolates,2024-07-19,1092219.09
Costco,America,DTC,Chocolates,2024-07-19,972398.51
Costco,America,Wholesale,Chocolates,2024-07-20,1381470.08
Costco,America,DTC,Chocolates,2024-07-20,1125630.52
Costco,America,Wholesale,Chocolates,2024-07-21,1641266.09
Costco,America,DTC,Chocolates,2024-07-21,966410.04
Costco,America,Wholesale,Chocolates,2024-07-22,1094657.33
Costco,America,DTC,Chocolates,2024-07-22,863192.68
Costco,America,Wholesale,Chocolates,2024-07-23,1364094.65
Costco,America,DTC,Chocolates,2024-07-23,804801.10
Costco,America,Wholesale,Chocolates,2024-07-24,1047589.17
Costco,America,DTC,Chocolates,2024-07-24,953840.95
Costco,America,Wholesale,Chocolates,2024-07-25,1141234.70
Costco,America,DTC,Chocolates,2024-07-25,967818.21
Costco,America,Wholesale,Chocolates,2024-07-26,1059533.16
Costco,America,DTC,Chocolates,2024-07-26,764932.48
Costco,America,Wholesale,Chocolates,2024-07-27,1230439.08
Costco,America,DTC,Chocolates,2024-07-27,1203620.01
Costco,America,Wholesale,Chocolates,2024-07-28,1256877.33
Costco,America,DTC,Chocolates,2024-07-28,904780.71
Costco,America,Wholesale,Chocolates,2024-07-29,1310157.06
Costco,America,DTC,Chocolates,2024-07-29,834609.79
Costco,America,Wholesale,Chocolates,2024-07-30,1021406.83
Costco,America,DTC,Chocolates,2024-07-30,976203.42
Costco,America,Wholesale,Chocolates,2024-07-31,1204675.46
Costco,America,DTC,Chocolates,2024-07-31,917522.52
Costco,America,Wholesale,Chocolates,2024-08-01,1583759.43
Costco,America,DTC,Chocolates,2024-08-01,1067022.19
Costco,America,Wholesale,Chocolates,2024-08-02,1542871.78
Costco,America,DTC,Chocolates,2024-08-02,1045395.85
Costco,America,Wholesale,Chocolates,2024-08-03,1767945.44
Costco,America,DTC,Chocolates,2024-08-03,1157117.83
Costco,America,Wholesale,Chocolates,2024-08-04,1594825.75
Costco,America,DTC,Chocolates,2024-08-04,1319517.35
Costco,America,Wholesale,Chocolates,2024-08-05,1455744.22
Costco,America,DTC,Chocolates,2024-08-05,1187750.02
Costco,America,Wholesale,Chocolates,2024-08-06,1426127.69
Costco,America,DTC,Chocolates,2024-08-06,1034861.95
Costco,America,Wholesale,Chocolates,2024-08-07,1365838.60
Costco,America,DTC,Chocolates,2024-08-07,1232538.55
Costco,America,Wholesale,Chocolates,2024-08-08,1274196.15
Costco,America,DTC,Chocolates,2024-08-08,1185707.44
Costco,America,Wholesale,Chocolates,2024-08-09,1425984.77
Costco,America,DTC,Chocolates,2024-08-09,987711.00
Costco,America,Wholesale,Chocolates,2024-08-10,1525055.13
Costco,America,DTC,Chocolates,2024-08-10,1331379.08
Costco,America,Wholesale,Chocolates,2024-08-11,1631644.52
Costco,America,DTC,Chocolates,2024-08-11,1160773.33
Costco,America,Wholesale,Chocolates,2024-08-12,1626178.45
Costco,America,DTC,Chocolates,2024-08-12,1028632.33
Costco,America,Wholesale,Chocolates,2024-08-13,1457240.25
Costco,America,DTC,Chocolates,2024-08-13,1210557.14
Costco,America,Wholesale,Chocolates,2024-08-14,1315830.83
Costco,America,DTC,Chocolates,2024-08-14,1117448.16
Costco,America,Wholesale,Chocolates,2024-08-15,1614667.86
Costco,America,DTC,Chocolates,2024-08-15,1125925.37
Costco,America,Wholesale,Chocolates,2024-08-16,1506055.82
Costco,America,DTC,Chocolates,2024-08-16,1040728.56
Costco,America,Wholesale,Chocolates,2024-08-17,2003720.00
Costco,America,DTC,Chocolates,2024-08-17,1180620.88
Costco,America,Wholesale,Chocolates,2024-08-18,1791826.66
Costco,America,DTC,Chocolates,2024-08-18,1216106.21
Costco,America,Wholesale,Chocolates,2024-08-19,1402983.03
Costco,America,DTC,Chocolates,2024-08-19,930690.06
Costco,America,Wholesale,Chocolates,2024-08-20,1665922.05
Costco,America,DTC,Chocolates,2024-08-20,1078226.05
Costco,America,Wholesale,Chocolates,2024-08-21,1463919.06
Costco,America,DTC,Chocolates,2024-08-21,1239160.84
Costco,America,Wholesale,Chocolates,2024-08-22,1557088.12
Costco,America,DTC,Chocolates,2024-08-22,1014140.36
Costco,America,Wholesale,Chocolates,2024-08-23,1587718.25
Costco,America,DTC,Chocolates,2024-08-23,989122.47
